,index,text,retweetCount,polarityScore,sentiment
1302,1303,"RT @sunil131415: @Doga_Uncle @avi41968490 @sonunigam after #demonetization 
Quaderi unable to pay 10lakh.
He's try to getting die in <U+0915><U+092E><U+094B><U+0921><U+0964>",2,-6,
1303,1304,"@Doga_Uncle @avi41968490 @sonunigam after #demonetization 
Quaderi unable to pay 10lakh.
He's try to getting die in <U+0915><U+092E><U+094B><U+0921><U+0964>",2,-6,
1304,1305,"RT @amit_2912: Dear @narendramodi ji &amp; @myogiadityanath ji,I m a banker, felt much pressure in #demonetization got overtime but our guards",2,1,
1305,1306,RT @Janamejayan: 8. This put BJP at an advantage over competing parties where elections were being held shortly after demonetization.,2,2,
1306,1307,RT @Janamejayan: 6. Before demonetization there had been selective leaks so friend of ruling party were able to get the new money easily.,2,1,
1307,1308,"RT @ms_rana: Heart warming story from Hyderabad. When ATMs were dry (thanks to Modi's demonetization), the auto-driver helped. https://t.co",2,2,
1308,1309,"RT @jokinjey: @S_Rvignesh @karupalaniappan Anna university VC post auction base price 60 Cr.. If you know anyone , tell them to bid. Thanks",2,2,
1309,1310,"Heart warming story from Hyderabad. When ATMs were dry (thanks to Modi's demonetization), the auto-driver helped. https://t.co/VH62tVRn0z",2,2,
1310,1311,"RT @NemRaps: - EXTREME demonetization
- No realtime analytics
- Now disappearing comments?

Is YouTube is slowly trying to kill my channel?",2,-4,
1311,1312,"@S_Rvignesh @karupalaniappan Anna university VC post auction base price 60 Cr.. If you know anyone , tell them to b https://t.co/YfM0pf7U3D",2,0,
1312,1313,"RT @CSISIndiaChair: March'17 PMI indicates India's manuf. sector has fully recovered from demonetization, though still 4th in Asia https://",2,0,
1313,1314,8. This put BJP at an advantage over competing parties where elections were being held shortly after demonetization.,2,2,
1314,1315,6. Before demonetization there had been selective leaks so friend of ruling party were able to get the new money easily.,2,1,
1315,1316,RT @JediLucario1138: End YouTube's Demonetization of Channels https://t.co/TZ4AKxOMeg,2,0,
1316,1317,RT @_Kirtibhairav: @Dkomal_KD @jaf_jamesbond @American__Singh @Noomiiali @iAkshayTeotia7 @iamnotthatrahul @sonunigam @priyankachopra @rajsr,2,0,
1317,1318,@Dkomal_KD @jaf_jamesbond @American__Singh @Noomiiali @iAkshayTeotia7 @iamnotthatrahul @sonunigam @priyankachopra https://t.co/eqZPF6ema5,2,0,
1318,1319,RT @B_Rich33NO: Shoutout to YouTube for trying snuff out Independent Citizen Journalist Via Demonetization ... yall can eat a fat one. http,2,0,
1319,1320,"Dear @narendramodi ji &amp; @myogiadityanath ji,I m a banker, felt much pressure in #demonetization got overtime but our guards haven't got OT.",2,1,
1320,1321,RT @srithh: #demonetization is a wasteful exercise @narendramodi https://t.co/g4BZxYKnY0,2,0,
1321,1322,Shoutout to YouTube for trying snuff out Independent Citizen Journalist Via Demonetization ... yall can eat a fat o https://t.co/bfm0cNyjol,2,0,
1322,1323,"RT @rohithjyo: #Demonetization, Digital Identity and Universal Basic Income #UBI #Aadhaar (Live with @arvindsubraman) #CGDTalks https://t.c",2,0,
1323,1324,RT @CGDev: Give us your questions using #CGDTalks &amp; we'll ask @arvindsubraman &amp; @AnnieLowrey live! Watch your Q's answered here https://t.c,2,0,
1324,1325,Give us your questions using #CGDTalks &amp; we'll ask @arvindsubraman &amp; @AnnieLowrey live! Watch your Q's answered here https://t.co/blTu78XzQh,2,0,
1325,1326,"#Demonetization, Digital Identity and Universal Basic Income #UBI #Aadhaar (Live with @arvindsubraman) #CGDTalks https://t.co/3XhxtoKKsZ",2,0,
1326,1327,#demonetization is a wasteful exercise @narendramodi https://t.co/g4BZxYKnY0,2,0,
1327,1328,RT @arkaytimes: Vijay Mallya arrested. Scotland Yard takes credit. But we all know it was Sherlock Holmes. Now put all his cash in our ATMs,2,-3,
1328,1329,Vijay Mallya arrested. Scotland Yard takes credit. But we all know it was Sherlock Holmes. Now put all his cash in our ATMs. #demonetization,2,-3,
1329,1330,RT @codemojoio: Mobile wallet platform @Paytm witnessed 200% app downloads 250% rise in transaction value during demonetization in India #C,2,1,
1330,1331,Mobile wallet platform @Paytm witnessed 200% app downloads 250% rise in transaction value during demonetization in India #Codemojo #Startup,2,1,
1331,1332,"- EXTREME demonetization
- No realtime analytics
- Now disappearing comments?

Is YouTube is slowly trying to kill my channel?",2,-4,
1332,1333,"RT @ProfNKPandey: Manoj Tiwari had mocked people in Q during #demonetization too...
https://t.co/fPlzTPCl7r https://t.co/RdAHe78TTn",2,-2,
1333,1334,RT @18dMedia: ATMs run out of cash in north coastal India as Demonetization pains continue https://t.co/WQjbbGv5Lb #HeavyIndustries,2,0,
1334,1335,RT @seshadrireddy: Demonetization - Why Modi should write off farmers loans? - Sign the Petition! https://t.co/XF7IQ2BKzT via @ChangeOrg_In,2,0,
1335,1336,"Manoj Tiwari had mocked people in Q during #demonetization too...
https://t.co/fPlzTPCl7r https://t.co/RdAHe78TTn",2,-2,
1336,1337,RT @MoneyonMobileIR: Demonetization Is Catalyzing Digital Payments Growth in India https://t.co/NV8OlJtJuW https://t.co/VizZ1LHeBD,2,2,
1337,1338,Demonetization Is Catalyzing Digital Payments Growth in India https://t.co/NV8OlJtJuW https://t.co/VizZ1LHeBD,2,2,
1338,1339,RT @sundeepgummadi: NDTV reported drop in revenue due to Demonetization ?? <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1> Didn't know they are also in running  Circus... https://t.co/,2,-1,
1339,1340,NDTV reported drop in revenue due to Demonetization ?? <ed><U+00A0><U+00BD><ed><U+00B8><U+00B1><ed><U+00A0><U+00BD><ed><U+00B8><U+00B1> Didn't know they are also in running  Circus... https://t.co/nqEJbrLGqn,2,-1,
1340,1341,"RT @nikhilesh01: Preferences:
World criticized Demonetization  
Sonu Nigam said: ""Demonetization is 1st step towards better tomorrow
https",2,0,
1341,1342,"Preferences:
World criticized Demonetization  
Sonu Nigam said: ""Demonetization is 1st step towards better tomorrow
https://t.co/AswgYE4IJG",2,0,
1342,1343,RT @_asif: Hi @evanspiegel! India is so rich that PM @narendramodi had to implement demonetization to find out who is actually poor!   #boy,2,0,
1343,1344,Hi @evanspiegel! India is so rich that PM @narendramodi had to implement demonetization to find out who is actually poor!   #boycottsnapchat,2,0,
1344,1345,RT @SpencerKarter: I hate Susan Wojcicki and her damn Advertiser Friendly Demonetization Censorship with a passion. #MakeYouTubeGreatAgain,2,-2,
1345,1346,RT @shubhamdr: @madmanweb @digvijaya_28 Demonetization happened in India not in Ur loving Pakistan,2,2,
1346,1347,RT @CGDev: Join us Tues for a discussion on India's econ w/ @arvindsubraman &amp; moderated by @AnnieLowrey #CGDTalks https://t.co/blTu79faHP,2,1,
1347,1348,I hate Susan Wojcicki and her damn Advertiser Friendly Demonetization Censorship with a passion. #MakeYouTubeGreatAgain #YouTube #PROTEST,2,-4,
1348,1349,RT @Tweenvi: Even demonetization couldn't bring out the hidden money of rich people. But Snapchat CEO's comment definitely did it! :D #Indi,2,2,
1349,1350,RT @Policewalaaa: Some still thought Demonetization is a Hollywood movie released on 8th Nov,2,0,
1350,1351,Even demonetization couldn't bring out the hidden money of rich people. But Snapchat CEO's comment definitely did it! :D #IndiaRichCountry,2,2,
1351,1352,Join us Tues for a discussion on India's econ w/ @arvindsubraman &amp; moderated by @AnnieLowrey #CGDTalks https://t.co/blTu79faHP,2,1,
1352,1353,"RT @arnavkapoormk: With RBI not cutting rates, What was the gain of Demonetization Sir? Please answer correctly.. don't be a Modi's pappu!",2,2,
1353,1354,RT @AKOUL4774: AKOU future - YouTube Demonetization... https://t.co/THU1OP6tTY,2,0,
1354,1355,"RT @KyaKaise: 25 viewer Questions about YouTube Demonetization and the latest developments, answered. 
25 sawaal YouTube... https://t.co/7b",2,0,
1355,1356,@madmanweb @digvijaya_28 Demonetization happened in India not in Ur loving Pakistan,2,2,
1356,1357,RT @RAJUPAUNIKAR: DEMONETIZATION https://t.co/sKXxxSRiXN,2,0,
1357,1358,"RT @sanjeetbisht: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo",2,4,
1358,1359,RT @CGDev: This Tuesday join #CGDTalks discussion on #India's econ w/ @arvindsubraman &amp; moderated by @AnnieLowrey https://t.co/blTu79faHP,2,1,
1359,1360,RT @Chakolebaaz: That sounds like demonetization coverage by Indian media. https://t.co/wWMLgt822C,2,2,
1360,1361,"RT @aCanadianGuyeh: Old man Thunderf00t doesn't get parody, claims to think demonetization of videos is b/c of #KekistaniFlag when in actua",2,0,
1361,1362,That sounds like demonetization coverage by Indian media. https://t.co/wWMLgt822C,2,2,
1362,1363,"25 viewer Questions about YouTube Demonetization and the latest developments, answered. 
25 sawaal YouTube... https://t.co/7b2sS5B7xX",2,0,
1363,1364,"Old man Thunderf00t doesn't get parody, claims to think demonetization of videos is b/c of #KekistaniFlag when in actuality it isn't.",2,0,
1364,1365,This Tuesday join #CGDTalks discussion on #India's econ w/ @arvindsubraman &amp; moderated by @AnnieLowrey https://t.co/blTu79faHP,2,1,
1365,1366,RT @RadhaGiri: 811 is the day when india changed with demonetization - kotak has launched an innovative product with the same name! Smart m,2,4,
1366,1367,RT @dhanbiogr: Mind blowing Response from International Media to demonetization! It will shut the Mouth of Opposition! https://t.co/xJbvvCs,2,0,
1367,1368,"RT @maratheshail: Demonetization has killed the rural economy &amp; the farmers, they said, as India heads for a record cereal crop
https://t.c",2,-3,
1368,1369,811 is the day when india changed with demonetization - kotak has launched an innovative product with the same name! Smart move! #TieConPune,2,4,
1369,1370,"Demonetization has killed the rural economy &amp; the farmers, they said, as India heads for a record cereal crop
https://t.co/knUARiCne6",2,-3,
1370,1371,"RT @JPAL_Global: Banerjee: Most people we surveyed thought #demonetization was bad for them, but good for the country. https://t.co/N64rKmW",2,0,
1371,1372,RT @seoandsmoservic: I liked a @YouTube video https://t.co/ob06fewoEz Sonu Nigam reveals how demonetization affected singers | #RSMMA,2,1,
1372,1373,"RT @Himkunzum: @ANI_news black money sure, and some said demonetization will have no effect",2,-1,
1373,1374,RT @databaseDNA: A cashless society is all they need to shut undesirables out of the system. Make the youtube demonetization seem like the,2,2,
1374,1375,"RT @Stupidosaur: Never vote for AAP after we #banEVM. Saaley ullu banate hain har mamle main, demonetization ho ya EVM.",2,0,
1375,1376,"RT @RenukaJain6: @pingmanoj1 @narendramodi @DrGPradhan @vivekagnihotri @HDFCBank_Cares @ICICIBank_Care check blog I wrote long back 

https",2,0,
1376,1377,"Never vote for AAP after we #banEVM. Saaley ullu banate hain har mamle main, demonetization ho ya EVM.",2,0,
1377,1378,I liked a @YouTube video https://t.co/ob06fewoEz Sonu Nigam reveals how demonetization affected singers | #RSMMA,2,1,
1378,1379,"@ANI_news black money sure, and some said demonetization will have no effect",2,-1,
1379,1380,RT @Stupidosaur: @Memeghnad @TheReal1977 @atrout920 That's why CIA's EVM rigged puppet Modi could do demonetization with impunity and callo,2,-1,
1380,1381,@Memeghnad @TheReal1977 @atrout920 That's why CIA's EVM rigged puppet Modi could do demonetization with impunity an https://t.co/vpYVCo0g4P,2,-1,
1381,1382,"RT @rBasicIncome: On #BasicIncome: Demonetization, Digital Identity and Universal Basic Income  How Big Ideas Are Changing India... https:",2,1,
1382,1383,RT @amilliff: Banerjee @JPAL_Global: #Demonetization + #upelections2017 shows that bad economics can  make good politics. https://t.co/oclw,2,0,
1383,1384,RT @_standupcentral: Check out @iimcomic take on #demonetization. https://t.co/I0mUOsd1qY,2,0,
1384,1385,Check out @iimcomic take on #demonetization. https://t.co/I0mUOsd1qY,2,0,
1385,1386,RT @rosammat: And for India to apologize to the 150 who died in queues after demonetization: https://t.co/h95z2vymOA,2,-4,
1386,1387,Banerjee @JPAL_Global: #Demonetization + #upelections2017 shows that bad economics can  make good politics. https://t.co/oclwGGs8Gf,2,0,
1387,1388,RT @jbuitrago: Demonetization Is Catalyzing Digital Payments Growth in India https://t.co/CMqAAYYv9i,2,2,
1388,1389,"Banerjee: Most people we surveyed thought #demonetization was bad for them, but good for the country. https://t.co/N64rKmWBzs #d2p2",2,0,
1389,1390,RT @JPAL_Global: Banerjee: Our surveys of market sellers in #India found ave. 23% less sales after #demonetization. https://t.co/N64rKmWBzs,2,0,
1390,1391,Banerjee: Our surveys of market sellers in #India found ave. 23% less sales after #demonetization. https://t.co/N64rKmWBzs #d2p2 @MITEcon,2,0,
1391,1392,Demonetization Is Catalyzing Digital Payments Growth in India https://t.co/CMqAAYYv9i,2,2,
1392,1393,"RT @azomer: Arguments for demonetization in #India for security, #corruption and formal economy ""not water tight"" - @JPAL_Global @MITEcon h",2,-3,
1393,1394,"Arguments for demonetization in #India for security, #corruption and formal economy ""not water tight"" - https://t.co/nnCwsWCZie",2,-3,
1394,1395,"@pingmanoj1 @narendramodi @DrGPradhan @vivekagnihotri @HDFCBank_Cares @ICICIBank_Care check blog I wrote long back 

https://t.co/MT6aG1zILI",2,0,
1395,1396,AKOU future - YouTube Demonetization... https://t.co/THU1OP6tTY,2,0,
1396,1397,RT @Enterthe5t4rz: I liked a @YouTube video https://t.co/F9zNVYOjSU Let's talk about Syria and Youtube Demonetization,2,2,
1397,1398,"RT @udaygour: @FinMinIndia @arjunrammeghwal 
Demonetization will certainly bear fruits, ppl shd not rush in for instant benefits. It's not",2,2,
1398,1399,RT @Stupidosaur: @manishonline @UIDAI So just like demonetization (but worse) you will be locked out of everything in life. You die. No Tyt,2,-5,
1399,1400,@manishonline @UIDAI So just like demonetization (but worse) you will be locked out of everything in life. You die. https://t.co/Z7lyQSS3UG,2,-4,
1400,1401,And for India to apologize to the 150 who died in queues after demonetization: https://t.co/h95z2vymOA,2,-4,
1401,1402,RT @dna: #Demonetization lingers as IIP contracts in February https://t.co/3GQD8JKlJ6,2,0,
1402,1403,#Demonetization lingers as IIP contracts in February https://t.co/3GQD8JKlJ6,2,0,
1403,1404,"RT @GoldTrendsNet: The Fed can do what it wants when it wants
during WWII Hawaiian banknotes were printed
if Japan invaded a demonetization",2,0,
1404,1405,RT @bijonmehta: Demonetization Is Catalyzing Digital Payments Growth in India https://t.co/QNQA1pXE2B #fintech #payments #mobile #digital #,2,2,
1405,1406,Demonetization Is Catalyzing Digital Payments Growth in India https://t.co/QNQA1pXE2B #fintech #payments #mobile #digital #india,2,2,
1406,1407,I liked a @YouTube video https://t.co/F9zNVYOjSU Let's talk about Syria and Youtube Demonetization,2,2,
1407,1408,RT @BeaLeydier: Interesting event for the cutting edge @guindiaink team @thatSSR https://t.co/zYITjkBklc  via @cgdev,2,1,
1408,1409,"On #BasicIncome: Demonetization, Digital Identity and Universal Basic Income  How Big Ideas Are Changing India... https://t.co/gaIEgtlN2L",2,1,
1409,1410,RT @payments_source: India's experiencing a mobile POS boom following its dramatic cash swapout. https://t.co/kk8IFPYhuh,2,0,
1410,1411,Interesting event for the cutting edge @guindiaink team @thatSSR https://t.co/zYITjkBklc  via @cgdev,2,1,
1411,1412,India's experiencing a mobile POS boom following its dramatic cash swapout. https://t.co/kk8IFPYhuh,2,0,
1412,1413,"The Fed can do what it wants when it wants
during WWII Hawaiian banknotes were printed
if Japan invaded a demonetiz https://t.co/J2QcZ5awAV",2,0,
1413,1414,"RT @sumitkashyapjha: Anyway @ShivAroor , post demonetization terrorism is finished, anti nationals hv no money. Thr have no strength to int",2,-1,
1414,1415,"Anyway @ShivAroor , post demonetization terrorism is finished, anti nationals hv no money. Thr have no strength to intimidate people.",2,-3,
1415,1416,RT @amit20_20: @Ritz7576 wat u say on Demonetization?,2,0,
1416,1417,"RT @Lovely_Sathish: #IncrementPremierLeague
The effects of demonetization is still reverberating in the market #IncrementPremierLeague @Joh",2,0,
1417,1418,"#IncrementPremierLeague
The effects of demonetization is still reverberating in the market #IncrementPremierLeague @John_Miller_GLR",2,0,
1418,1419,"RT @Stupidosaur: @BruvPeace Closer at home, demonetization was just a glimps of helplessness and death USA thugs have planned after destroy",2,-5,
1419,1420,RT @amms28: Use of black money converted before demonetization.(2017) https://t.co/WLZ4PD7vyh,2,0,
1420,1421,"RT @ANTHONYBLOGAN: The thing about is I can review the demonetization, but it might take 24 hours.  By the time they reinstate it, peak vie",2,0,
1421,1422,"RT @Stupidosaur: @localteaparty BTW USA's other EVM rigged thug is doing the same thing in Venezuela. Aadhaar, demonetization, bread &amp; flou",2,-1,
1422,1423,RT @JPAL_Global: This Thursday: J-PAL co-founder Abhijit Banerjee talking #demonetization in #India. https://t.co/w9f3AwJVZs https://t.co/q,2,0,
1423,1424,"RT @Stupidosaur: @Vidyut B team of BJP. CIA baby. CCTV, EVM but with VVPAT, support 'surgical strikes', JNU drama, timepass in demonetizati",2,1,
1424,1425,"@Vidyut B team of BJP. CIA baby. CCTV, EVM but with VVPAT, support 'surgical strikes', JNU drama, timepass in demon https://t.co/hwgqjbqgvG",2,1,
1425,1426,"RT @sumitbhati2002: Many opposition leaders are with @narendramodi on the #Demonetization 
And respect their decision,but support oppositio",1,4,
1426,1427,"Many opposition leaders are with @narendramodi on the #Demonetization 
And respect their decision,but support opposition just b'coz of party",1,4,
1427,1428,RT @mayankjain100: #demonetization is Communal and Black Money is Secular...,1,0,
1428,1429,RT @nmleo1: Is #ModiSarkar 's #achedin campaign on #demonetization a #goebbelsian #masterstroke that turns blind eye to #GroundZero shocks?,1,-3,
1429,1430,#demonetization is Communal and Black Money is Secular...,1,0,
1430,1431,RT @nmleo1: @MinhazMerchant #demonetization hardly affects tax dodgers &amp; #NETAS who excel in #CashlessCorruption &amp; have multiplied bad weal,1,-3,
1431,1432,"RT @Currency_crisis: What #demonetization indicates is loss of freedom
Besides laws/constitution/court/cops 2 govern people
govt is using m",1,-1,
1432,1433,"What #demonetization indicates is loss of freedom
Besides laws/constitution/court/cops 2 govern people
govt is using money 2 control people",1,-1,
1433,1434,RT @embracetheart: Delete! Pathetic PM who conducts false poll and self praises himself. #demonetization #BogusPoll #ModiScaredOfParliament,1,0,
1434,1435,RT @TalkOrTweets: #Demonetization Now affecting even the dumb rich ...who now have to use public transport https://t.co/8RW0WZat3o,1,-1,
1435,1436,"RT @Savitri4Ever: Wow! #Demonetization Survey Response: 5 Lakh citizens in little over 24 hrs!
Participate now!
https://t.co/pwVrLD6tSg
via",1,4,
1436,1437,"RT @FTIIndia: What is the impact of #Demonetization on various sectors like Real Estate, Consumption, Banks.
Read our views here - https://",1,2,
1437,1438,"RT @FTIIndia: How will inflation and interest rates react to #Demonetization? 
Read our views here - https://t.co/kFCVgHbNdL https://t.co/M",1,1,
1438,1439,RT @penisgarlic: People these days are practicing to get the tickets when 2.0 will release by making queue in bank n ATM  #demonetization,1,0,
1439,1440,Delete! Pathetic PM who conducts false poll and self praises himself. #demonetization #BogusPoll https://t.co/9CgeoDBFNz,1,0,
1440,1441,"RT @ItzCash: @suryanavin  on how the current wave of #Demonetization is the apt way towards digitization of the Indian economy. 
https://t.",1,0,
1441,1442,RT @MBQasmi: This is a simple survey at my Facebook page. This too shows mood of the nation on #demonetization Modi has asked wrong questio,1,-2,
1442,1443,"RT @anechidna: nov 28 - work 1 hr,  stand in queue for 8 hr.  #IAmWithModi  #demonization #tughlakmodi #demonetization",1,0,
1443,1444,RT @siri_notsiri: Spoke about #demonetization in #India and its impact on #women with @MarcoWerman @pritheworld  https://t.co/EYJfem34nO,1,0,
1444,1445,"nov 28 - work 1 hr,  stand in queue for 8 hr.  #IAmWithModi  #demonization #tughlakmodi #demonetization",1,0,
1445,1446,"RT @Bollywood_Stuff: #RakhiSawant Support #demonetization of #Currency By #PMModi 

VIDEO<U+279C>https://t.co/n7kvc1wsCy

#Rs500andRs1000 #bollywo",1,2,
1446,1447,Spoke about #demonetization in #India and its impact on #women with @MarcoWerman @pritheworld  https://t.co/EYJfem34nO,1,0,
1447,1448,This is a simple survey at my Facebook page. This too shows mood of the nation on #demonetization Modi has asked wr https://t.co/Hn94KBvm8J,1,0,
1448,1449,"RT @FTIIndia: #Demonetization  How does it impact the common man? 
Read our views here - https://t.co/kFCVgGUcmd https://t.co/n5CjxRgCzr",1,0,
1449,1450,RT @arvind_69: MamataOfficial After #Demonetization max amount was deposited in #JanDhanAccount in WB. What is the matter? How u brought so,1,1,
1450,1451,"RT @vijaychavda9: Retweeted Harsh K. Kapoor (@harshkkapoor):

#DeMonetization survey results after 24 hours
5Lacs opinions
Amazing... https",1,2,
1451,1452,RT @Tata_ValueHomes: Lower interest rate will ultimately lead to more buyers because of #LowerEMI. #HappyHomes #Demonetization https://t.co,1,1,
1452,1453,"RT @deeepakkher: #Demonetization 21K Crore Deposited In #JanDhanAccount Most From Bengal, Karnataka. The reason for protests? - NDTV https:",1,-2,
1453,1454,"@suryanavin  on how the current wave of #Demonetization is the apt way towards digitization of the Indian economy. 
https://t.co/B0rYYBkL2J",1,0,
1454,1455,"Retweeted Harsh K. Kapoor (@harshkkapoor):

#DeMonetization survey results after 24 hours
5Lacs opinions
Amazing... https://t.co/57MdA6rcml",1,2,
1455,1456,"RT @finiterecursion: The two thousand rupee note video review 

#DeMonetization 
#DeMonetisation https://t.co/BOx57K5yXa",1,0,
1456,1457,"RT @LocalPressCo: 86% of Indians from both rural &amp; urban areas support #demonetization, feel it was worth the inconvenience https://t.co/60",1,2,
1457,1458,RT @gauravonnet: Political parties voicing their views on #Demonetization. Why is industry silent?@ficci_india @followassocham #Demonetizat,1,0,
1458,1459,"RT @TruthRoars: @Swamy39 
The Good News: #Demonetization Spurs Behaviour Changes We All Hoped To See https://t.co/dc4bh4esG9 v",1,3,
1459,1460,"#Demonetization 21K Crore Deposited In #JanDhanAccount Most From Bengal, Karnataka. The reason for protests? - NDTV https://t.co/u65wQYS5zO",1,-2,
1460,1461,Political parties voicing their views on #Demonetization. Why is industry silent?@ficci_india @followassocham #DemonetizationNoEffect,1,0,
1461,1462,"RT @madhuhalkani: #arvindkejriwal #MamataBanerjee It is natural that the person who cries who looses most.

#Demonetization",1,-4,
1462,1463,RT @HPCL: HPCL GMO-SZ  team assisting people at Chennai during #Demonetization (1/2) https://t.co/5JhrISUE8x,1,0,
1463,1464,"#arvindkejriwal #MamataBanerjee It is natural that the person who cries who looses most.

#Demonetization",1,-4,
1464,1465,"RT @Demo_Kaisi: There is pain. There is suffering - Inflicted by #demonetization.
Time to show gratitude, empathy; not to be dismissive. 
I",1,-6,
1465,1466,RT @mocreighton: Waiting in line is only one way poor people will be hurt by #Demonetization. To know full impact we need to answers to man,1,-4,
1466,1467,"RT @blogadda: Here's a round-up of what the #bloggers blogged about #demonetization. Read it in Buzzing Blogosphere below- 
https://t.co/k3",1,0,
1467,1468,"Here's a round-up of what the #bloggers blogged about #demonetization. Read it in Buzzing Blogosphere below- 
https://t.co/k3A4oV64cW",1,0,
1468,1469,RT @ZERCHapp: Zerch | Blog: How we leveraged the power of location-aware techn... https://t.co/OqxUcLzY3e #Demonetization #IndiaFightsBlack,1,0,
1469,1470,Waiting in line is only one way poor people will be hurt by #Demonetization. To know full impact we need to answers to many questions: 2/,1,-4,
1470,1471,MamataOfficial After #Demonetization max amount was deposited in #JanDhanAccount in WB. What is the matter? How u brought so much prosperity,1,4,
1471,1472,RT @pinaki_dasgupta: Interesting!!! But not a surprise I guess! Need to check data in retrospection i guess! #Demonetization #BlackMoney ht,1,2,
1472,1473,"When Airtel deducts ur Rs.30 u go mad at them!

Kejri &amp; Mamta has lost thousands of crores and u want then to keep calm? <ed><U+00A0><U+00BD><ed><U+00B8><U+008B><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+008B>
#Demonetization",1,-3,
1473,1474,"#RakhiSawant Support #demonetization of #Currency By #PMModi 

VIDEO<U+279C>https://t.co/n7kvc1wsCy

#Rs500andRs1000 https://t.co/QppW7g17So",1,2,
1474,1475,"RT @BWBusinessworld: A Round Table on ""Long &amp; Short Term Impact of #Demonetization on Indian Economy &amp; GDP"" organized by @BWBusinessworld @",1,0,
1475,1476,"RT @BWBusinessworld: ""Tax Compliance is a big issue"" - @surjitbhalla at the Round Table on ""Long &amp; Short Term Impact of #Demonetization on",1,1,
1476,1477,RT @cohelporg: RT if you support #Demonetization and Favorite if you are against it! #BlackMoney,1,4,
1477,1478,"#Demonetization  How does it impact the common man? 
Read our views here - https://t.co/kFCVgGUcmd https://t.co/n5CjxRgCzr",1,0,
1478,1479,RT @coomarashish: Watching @yrdeshmukh sir in a debate with @manakgupta on News24 on #Demonetization..<ed><U+00A0><U+00BD><ed><U+00B1><U+008C>,1,0,
1479,1480,"There is pain. There is suffering - Inflicted by #demonetization.
Time to show gratitude, empathy; not to be dismissive. 
I salute public.",1,-4,
1480,1481,RT @saxenask352: 95% sacrificing to cleanse 5%. Benefits of #Demonetization should reach the common man in same ratio,1,3,
1481,1482,RT @Rupalijee: Over 90% of respondents feel govt's move to tackle #black money is above four-star rating. #demonetization #survey via TOI @,1,0,
1482,1483,"RT @MSA_IND: #Startups owned #demonetization but could we see a #FinTech fall?
https://t.co/V3HB1vEbOa
Sign up for #ThinkNext2016
https://t",1,0,
1483,1484,"What is the impact of #Demonetization on various sectors like Real Estate, Consumption, Banks.
Read our views here https://t.co/Wkw2n74Xzg",1,2,
1484,1485,RT @Demo_Kaisi: There is pain. There is suffering - Inflicted by #demonetization. Undoubtedly. The poorest are hit hardest - The... https:/,1,-8,
1485,1486,Over 90% of respondents feel govt's move to tackle #black money is above four-star rating. #demonetization #survey via TOI @narendramodi,1,0,
1486,1487,"RT @hemster: Aam Aadmi supports #Demonetization 
And supports @narendramodi https://t.co/uq9gOigp3S",1,4,
1487,1488,"RT @SV99999: #Demonetization

9 New Steps to Help Citizens Fight the Cash Crunch 

https://t.co/HFrbK2Lim9",1,1,
1488,1489,"#Demonetization

9 New Steps to Help Citizens Fight the Cash Crunch 

https://t.co/HFrbK2Lim9",1,1,
1489,1490,"Aam Aadmi supports #Demonetization 
And supports @narendramodi https://t.co/uq9gOigp3S",1,4,
1490,1491,Lower interest rate will ultimately lead to more buyers because of #LowerEMI. #HappyHomes #Demonetization https://t.co/A6LmfiVsXB,1,1,
1491,1492,"RT @coomarashish: C-Voter on #Demonetization:
Only 22% happy with implementation, when asked to mark the same, 66% says 'Good'.
@manakgupta",1,6,
1492,1493,"RT @yugaparivartan: Irony of our times. Jholachap economists who like giving 100Rs in NREGA opposing #Demonetization, while the free-market",1,2,
1493,1494,"RT @jankibaat1: From #MannKiBaat to #JanKiBaat on #demonetization. 
#Citizens on #DEMONETIZATION #janjankibaat @narendramodi @PMOIndia #nam",1,0,
1494,1495,"Irony of our times. Jholachap economists who like giving 100Rs in NREGA opposing #Demonetization, while the free-marketists applauding!",1,4,
1495,1496,"RT @nipfp_org_in: Read latest NIPFP blogpost titled ""#Demonetization: Cure and Care"", by Dr. Pinaki Chakraborty.
@pinakicha 
https://t.co/L",1,2,
1496,1497,"From #MannKiBaat to #JanKiBaat on #demonetization. 
#Citizens on #DEMONETIZATION #janjankibaat @narendramodi https://t.co/MYD5ogLY4X",1,0,
1497,1498,"RT @bi_india: EXCLUSIVE: Inside @vijayshekhar's @Paytm, the first 24 hours after #demonetization

https://t.co/2uJCMujeO8",1,2,
1498,1499,"EXCLUSIVE: Inside @vijayshekhar's @Paytm, the first 24 hours after #demonetization

https://t.co/2uJCMujeO8",1,2,
1499,1500,"86% of Indians from both rural &amp; urban areas support #demonetization, feel it was worth the inconvenience https://t.co/60BAUHAnnV #india",1,2,
1500,1501,There is pain. There is suffering - Inflicted by #demonetization. Undoubtedly. The poorest are hit hardest - The... https://t.co/hM1bckZ9JA,1,-8,
1501,1502,"RT @manishaBJP: #PareshRawal  take on 500 and 1000 #note #demonetization 
#Proud #Bankofficials #IndianRupee #Fight #Corruption #AccheDin #",1,-2,
